OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12957,YEM,Yemen,N/A,-,125.494995564222350,-9999.000000000000000,-9999.000000000000000,0.036801277120839,0.000083126450835
12958,YEM,Yemen,Al Mansurah,Al Mansurah; Dar Musabein; Bir Fadhl; Ribat; Dar al Amir; Ad durayn; Al Qahirah; Ash Shaykh `Uthman,208184.804942131188000,23483.036365509044117,11.279899304868367,0.326515364656202,0.002400581472804
12959,YEM,Yemen,Marib,Marib,5302.627028703695032,-9999.000000000000000,-9999.000000000000000,0.164438469811589,0.001172263706692
12960,YEM,Yemen,Hafoon,Hafoon; Al Ma`alla'; Hayy al Qulu`ah; At Tawahi; Bingisar West; Mintaqat al Fath,102922.771488189740921,-9999.000000000000000,-9999.000000000000000,0.183487294180580,0.001158484096777
12961,YEM,Yemen,Aden,Aden,131791.687170982128009,-9999.000000000000000,-9999.000000000000000,0.302350141819888,0.001986112814365
12962,YEM,Yemen,Harib,Harib,7288.130861282354090,-9999.000000000000000,-9999.000000000000000,0.073824500509595,0.000334065776873
12963,YEM,Yemen,N/A,-,389.592767357826233,-9999.000000000000000,-9999.000000000000000,0.036813394012310,0.000083161790319
12964,YEM,Yemen,Al Beidha,Al Beidha,22427.477226734161377,-9999.000000000000000,-9999.000000000000000,0.139569520851549,0.000582152180448
12965,YEM,Yemen,Al Ulya,Al Ulya; Bayhan,4768.858032226561591,-9999.000000000000000,-9999.000000000000000,0.086473391114700,0.000333875588295
12966,YEM,Yemen,Shuqrah,Shuqrah,658.381763458252180,-9999.000000000000000,-9999.000000000000000,0.077345799341352,0.000248819457880
12967,YEM,Yemen,Lawdar,Lawdar,3238.885153651235214,-9999.000000000000000,-9999.000000000000000,0.110418279572329,0.000498758688847
12968,YEM,Yemen,Nesab,Nesab,454.044423520565260,-9999.000000000000000,-9999.000000000000000,0.094104290154941,0.000333414080829
12969,YEM,Yemen,Azzan,Azzan,992.173683881759075,-9999.000000000000000,-9999.000000000000000,0.053370782751121,0.000166572401992
12970,YEM,Yemen,Al Qatn,Al Qatn,5923.257596015938361,-9999.000000000000000,-9999.000000000000000,0.135384231861049,0.000587175032689
12971,YEM,Yemen,Seiyun,Seiyun,27116.115862846345408,2846.401050567627863,10.497082491330126,0.185246026141925,0.001342792510233
12972,YEM,Yemen,Tarim,Tarim,18029.793388366691943,-9999.000000000000000,-9999.000000000000000,0.205774318146525,0.001259588277520
12973,YEM,Yemen,Al Mutadarririn,Al Mutadarririn; As Sidaqah; Fuwwah; Fuwwat Ibn Sina',43938.167569160512357,-9999.000000000000000,-9999.000000000000000,0.234019936944090,0.001416895741383
12974,YEM,Yemen,Mukalla,Mukalla; Mukalla,25898.703829765345290,-9999.000000000000000,-9999.000000000000000,0.164103084017721,0.001167198216277
12975,YEM,Yemen,Al Juwaibiyat,Al Juwaibiyat; An Najil; Al Harshiyat; Al Rukaib; Rukub; Buweish; fluk; Al Sabikhat,28304.307877540617483,-9999.000000000000000,-9999.000000000000000,0.188317297501664,0.001083989918232
12976,YEM,Yemen,Shihr,Shihr,12688.199554920196533,-9999.000000000000000,-9999.000000000000000,0.127306975365377,0.000751093127909
12977,ZAF,South Africa,Cape Town,Cape Town,3995987.152031553909183,1699406.236915095942095,42.527820342243238,2.031576088578208,0.067803177376138
12978,ZAF,South Africa,Atlantis,Atlantis,81408.434992076290655,35407.826217442772759,43.494050979961891,0.171974153369763,0.001452670916802
12979,ZAF,South Africa,Somerset West,Somerset West; Strand,186074.508468839136185,27988.351515859354549,15.041475453122841,0.367583130285965,0.003703700093322
12980,ZAF,South Africa,Stellenbosch,Stellenbosch,87748.850817121390719,52314.688682936226542,59.618659612951475,0.217189730893160,0.001847775639285
